"V1","V2","V3","V4","V5","V6","V7","V8"
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,-1.8044,-1.0032,-1.5004,-1.7675,-2.8522
NA,-1.113,-1.009,-1.2077,-0.6877,-1.0091,-0.8571,-1.0123
-0.9866,-0.9985,-1.7038,-0.9483,-1.0504,-0.9965,-0.8957,-0.9599
-0.9915,-1.6082,-1.218,-1.1108,-1.0395,-0.93,-0.8353,-0.9056
-0.8521,-1.038,-2.2707,-1.0958,-0.9751,-0.8651,-0.7759,-0.8529
